Government Local_authorities Employer Friends_family Self

-19	7	17	3	2
-1	-2	34	10	5
-6	14	-2	11	-5
-10	3	65	10	4
1	-25	-48	-47	15
6	9	-29	-5	37
-26	23	32	17	22
-10	-6	50	27	24
0	0	0	0	0
-2	-3	12	3	8
0	0	0	0	0
15	1	-17	-8	-22
-25	-16	9	6	5
26	10	23	29	30
-15	-11	-1	0	3
-14	0	61	0	0
39	15	-13	8	7
-18	-17	3	10	16
12	1	3	-16	23
2	-21	-15	-12	-1
0	0	40	10	5
0	0	-51	1	2
-48	-52	-28	20	33
-42	-22	3	9	27
-12	-1	18	10	11
-29	-9	-11	14	17
14	10	26	14	39
21	23	36	20	-12
28	4	-14	-8	3
-2	-7	5	-2	1
6	15	-17	30	32
0	0	43	0	0
-5	-1	14	25	19
0	0	35	0	0
-39	-39	24	-3	21
-14	2	9	0	0
20	24	61	70	42
-2	0	-9	-2	61
-8	-11	19	11	17
14	17	20	-2	5
8	8	35	28	78
-11	-35	-22	0	20
-50	-50	-50	-50	-50
-3	-4	9	1	5
-2	-8	57	52	47
-7	-8	1	4	7
-34	-3	14	-1	7
-11	-23	-13	18	8
-13	-2	-6	41	67
0	0	0	1	0
0	2	5	13	8
13	19	0	15	4
0	0	0	10	5
-30	-30	4	13	6
26	28	-41	-43	38
-70	-50	30	-2	-1
-40	-20	-10	35	45
-11	25	9	3	18
-2	-2	15	13	8
16	17	-9	1	6
-30	37	0	-35	14
-25	-18	-5	2	6
-30	30	-15	12	-9
14	9	-23	26	18
7	23	-43	-7	0
-13	-13	-12	15	19
2	6	20	20	31
24	14	1	16	7
-1	-3	5	2	3
-5	-5	-60	-5	10
11	10	25	0	0
11	17	25	1	2
-8	-5	22	3	9
0	0	60	19	25
-20	8	45	30	27
-7	1	-30	43	12
20	20	22	-23	-25
3	-5	1	7	-4
-5	-2	23	-8	-10
-2	4	5	31	28
1	6	-44	13	8
38	40	52	45	47
0	6	51	2	-1
-29	0	47	27	23
0	-4	-30	0	0
0	-5	-20	16	26
7	2	0	10	6
0	0	50	80	69
-7	-45	-34	23	14
0	0	0	0	0
-31	-23	-49	-26	-14
-11	3	1	-19	-10
24	16	16	42	49
-5	11	-32	0	31
17	-2	53	19	9
0	0	-43	22	11
-3	-7	-3	8	15
-27	-15	21	30	34
30	21	35	25	22
-2	-3	11	6	-10
-4	3	-3	2	10
-1	44	39	32	50
14	23	38	44	11
0	-1	18	8	-3
17	37	62	38	18
-30	-20	-7	17	4
-75	-70	0	0	0
11	9	7	-1	6
-5	-5	100	10	-10
-26	-23	-34	-9	-6
-25	-5	22	11	0
2	5	17	9	10
-14	-15	-17	19	19
-6	13	24	1	20
27	22	21	32	26
-2	8	-4	19	0
3	-1	36	18	0
0	16	-25	22	38
-9	36	30	50	52
-26	2	42	-8	-22
0	0	-36	4	-8
-35	-10	23	0	15
-8	-4	2	-19	-23
-3	0	21	12	-3
-31	-35	-50	19	-28
-30	-32	-2	41	46
3	5	-25	-14	18
-16	18	-23	-23	22
-1	-1	-1	39	39
0	0	4	1	0
-43	-47	-48	-39	9
-20	-14	-4	6	29
0	0	-25	0	0
10	3	27	45	43
-50	-54	-51	-49	-54
-2	-2	21	8	9
-14	-3	7	21	21
0	0	-5	20	20
12	15	-5	22	9
5	10	11	12	61
4	4	-10	-7	16
0	0	0	0	40
-32	8	3	-1	15
30	50	30	-10	-25
-14	-30	-3	-1	26
12	-27	40	68	25
1	1	26	11	-5
0	17	-5	33	54
1	1	26	2	22
-24	-23	-29	38	33
-3	4	-8	-13	-13
-9	1	13	7	0
-3	10	53	48	49
24	4	6	-13	2
-41	-39	-18	-41	35
-2	1	34	54	-83
-5	24	33	54	18
-15	14	70	39	41
0	-5	51	20	15
4	16	1	-31	6
51	52	15	-6	2
-3	5	-19	2	11
-35	-36	-33	21	23
-11	-27	-19	-5	53
23	14	12	14	23
2	-12	14	21	36
-20	-20	-25	15	20
10	-4	4	12	1
1	2	-10	32	41
-8	19	-5	-5	-1
30	30	25	-5	-10
-20	-6	-1	11	31
-58	-64	-41	-51	-5
5	12	21	10	8
-31	-30	2	0	-28
-12	-16	-22	1	-7
8	36	-50	-2	31
-4	3	-22	21	28
5	6	0	22	39
-7	-17	-47	14	14
0	0	0	0	0
0	3	-57	23	23
0	0	0	30	30
1	-5	-22	11	1
-47	-44	-4	-3	-3
-38	2	12	-1	0
-1	-2	-33	-4	-6
-9	-3	-10	6	9
4	5	0	1	-1
5	0	26	10	9
0	77	100	100	0
0	0	0	0	0
10	80	100	-27	13
-5	-4	-10	-3	-5
-3	-14	-10	9	9
-30	6	40	-7	-7
-2	-1	-2	-2	0
-22	0	2	17	16
-34	-16	-7	83	76
-45	-46	20	20	45
-43	-25	59	38	37
-6	-3	96	-6	34
-6	-4	0	22	32
-50	25	-10	31	30
-9	-26	-5	-23	-22
-18	6	0	-5	61
