1017,1,34,1,1,2,6,6,16,51,81,11,21,51,81,56,55,91,70,101,86,81,77,91,91,91,71,96,87,76,75,36,41,3,7,51,3,51,3,6,3,11,3,91,16,6,6,1,6,91,61,46,26,21,21,1,1,1,6,2,3,4,51,3,6,21,51,2,3,4,51,6,11,26,81,11,16,50,81,101,101,1,101,101,1,1,101,101,1,1,1,1,1,2,1,1,1,1,1,1,2,5,5,81,61,1,16,6,6,96,80,40,35,19,24,1,52,31,101,101,101,61,76,75,32,71,33,1,1,1,31,81,1,1,1,2,41,81,1,1,61,36,51,51,26,11,36,16,50,76,24,86,65,1,31,6,21,92,82,50,33,22,35,16,36,91,61,81,81,6,76,91,81,80,52,66,53,101,101,101,101,101,101,16,51,71,51,91,66,51,86,36,76,91,81,51,86,36,76,91,81,101,101,101,101,101,101,56,66,66,66,96,51,6,5,3,4,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,3,1,2,2,1,1,2,1,4,11,86,15,14,105,120,110,169,148,341,185,190,163,162,154,219,53,2010,1,0,15,15,0,0,1
1018,1,21,2,1,1,5,11,31,61,91,61,76,91,101,101,92,101,95,101,87,61,91,101,96,101,73,101,67,99,50,90,89,11,50,96,11,86,16,11,11,65,18,96,71,21,1,1,1,90,92,90,51,37,60,2,3,4,4,10,33,91,101,7,10,19,26,30,44,44,101,3,18,59,101,6,42,69,101,101,101,1,1,1,1,51,101,101,51,1,1,1,1,1,1,1,1,1,1,3,4,5,3,101,90,91,71,8,11,96,86,73,67,19,18,51,101,101,101,101,21,32,26,31,88,101,13,64,89,20,86,89,21,48,80,101,101,101,21,14,80,60,101,1,54,85,86,85,56,68,18,101,71,71,101,6,72,101,95,49,79,84,44,1,23,1,71,92,90,31,93,90,65,64,51,86,71,1,101,101,101,101,17,53,27,11,88,97,42,40,101,101,101,101,30,17,28,38,92,97,27,14,101,101,101,101,30,56,92,91,89,90,27,8,6,6,4,1,4,8,1,1,1,1,4,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,4,2,4,16,101,37,10,46,69,45,90,105,135,81,44,86,55,62,84,21,970,1,0,15,15,0,0,1
1019,1,23,1,1,1,5,1,38,79,101,47,53,86,100,101,47,101,33,101,69,54,70,101,65,101,55,101,52,49,34,51,29,18,29,73,23,51,35,23,26,44,44,1,56,1,1,1,59,99,81,51,49,28,83,1,1,1,26,1,20,40,78,1,25,46,46,51,51,51,101,1,29,59,101,51,51,70,101,101,51,101,51,52,1,51,101,101,51,1,1,2,1,2,1,1,2,1,1,1,1,3,3,8,9,1,1,1,1,101,47,28,37,15,11,26,54,1,54,1,1,71,53,54,101,32,75,101,101,49,74,23,47,1,53,1,39,1,24,1,11,1,25,1,28,101,48,31,78,49,101,1,101,1,6,15,1,101,68,42,50,71,22,79,79,67,101,101,101,1,51,101,54,51,33,47,48,9,1,1,1,1,1,54,76,50,58,27,40,1,1,1,10,1,1,32,56,27,29,20,31,1,1,1,1,1,1,50,34,19,7,1,1,2,3,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,3,4,1,1,3,2,1,3,4,2,31,101,9,15,43,40,51,121,91,161,152,40,80,92,130,119,27,1171,1,0,15,15,0,0,1
1020,1,26,1,1,1,5,11,11,21,31,11,11,21,31,92,92,92,91,99,95,14,40,94,93,24,13,13,25,13,13,59,60,86,60,61,31,61,31,51,76,51,76,91,21,51,51,51,51,91,91,81,51,51,51,3,3,3,3,11,11,11,11,3,3,3,3,11,11,11,11,11,11,11,11,11,11,11,11,101,101,1,101,51,101,1,1,101,51,1,1,1,2,2,1,1,2,2,1,2,3,5,5,101,16,76,2,2,2,74,74,60,51,44,35,51,101,101,101,101,86,83,68,97,96,84,88,1,1,1,91,91,1,1,1,1,91,91,1,22,80,4,94,101,33,35,52,23,92,99,53,101,101,85,101,101,101,85,94,56,91,101,65,4,21,19,35,73,53,98,89,93,58,51,56,51,50,57,101,70,101,101,72,78,78,76,77,81,77,85,101,85,101,101,86,101,101,101,101,101,101,74,34,53,1,101,31,75,74,50,94,95,61,8,2,6,2,1,4,7,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,4,2,1,2,1,1,2,3,3,101,83,9,11,51,63,63,773,104,144,161,148,74,80,76,99,21,1119,1,0,15,15,0,0,1
1021,1,19,1,1,2,5,1,1,1,31,2,11,26,51,101,88,1,52,101,81,78,83,95,85,96,90,98,94,82,71,73,77,92,82,21,1,51,31,1,1,51,51,1,1,1,51,51,51,51,51,51,71,71,71,1,1,1,1,1,1,1,2,1,1,4,11,4,6,9,16,1,1,8,15,4,7,16,31,101,101,51,1,1,51,51,1,101,1,1,1,1,1,1,1,1,1,1,1,1,2,5,4,1,11,11,1,1,1,51,31,31,11,11,6,1,1,1,1,1,1,22,8,9,9,5,14,48,52,49,46,50,48,49,46,50,43,45,44,49,50,46,46,47,50,42,48,48,43,42,53,1,6,6,1,1,1,51,51,31,11,11,6,6,24,96,98,95,95,96,99,101,98,95,97,99,99,1,23,1,1,1,3,21,23,20,7,5,16,1,40,18,3,5,32,38,46,54,53,50,48,1,1,1,1,1,1,24,28,28,27,28,31,1,4,4,2,1,3,5,5,5,5,3,5,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,3,3,51,51,22,18,161,516,120,235,155,731,376,60,200,87,185,194,133,1695,1,0,15,15,0,0,1
1022,1,34,1,1,1,7,41,61,81,101,51,78,84,101,101,92,101,77,101,76,71,71,101,91,91,91,93,87,33,33,28,28,76,79,76,26,71,31,41,41,41,41,51,46,31,21,21,12,60,43,31,21,21,12,1,1,1,31,1,1,17,31,6,6,11,31,1,1,17,31,1,1,21,40,1,1,25,44,82,101,1,67,79,70,51,86,86,74,1,1,2,1,2,1,1,1,1,1,2,3,5,4,101,81,63,31,16,4,101,51,45,7,9,4,81,101,101,101,101,71,67,81,82,82,89,71,52,57,59,89,78,11,52,57,59,89,78,11,69,71,70,72,84,40,72,73,74,75,84,39,94,90,72,49,48,20,87,68,46,32,36,19,47,47,10,54,91,86,101,81,101,81,82,77,84,79,51,71,101,101,101,18,26,32,46,73,64,21,51,31,59,46,101,1,1,1,60,25,73,1,51,71,101,72,101,1,45,29,64,65,78,1,8,5,6,3,3,3,8,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,5,1,5,31,81,80,26,122,90,119,128,166,200,184,67,234,167,173,255,42,1840,1,0,15,15,0,0,1
1023,1,25,2,1,1,6,19,19,5,19,33,33,11,11,101,56,81,51,101,53,83,52,101,91,101,83,101,81,101,101,76,76,77,48,71,21,51,51,31,31,53,53,6,53,53,6,7,44,52,52,51,52,51,51,1,1,1,1,11,31,51,61,32,32,31,31,52,52,53,52,53,56,53,52,52,54,52,53,1,1,1,1,21,1,1,21,1,1,1,1,1,1,2,1,1,2,1,1,2,2,5,4,1,52,53,52,14,55,52,84,85,73,44,67,101,52,52,55,101,60,51,52,51,51,52,50,50,49,51,49,87,50,51,50,52,50,53,53,87,50,47,55,87,55,50,55,58,56,82,53,1,51,51,34,34,50,53,80,83,52,51,52,66,65,90,79,72,72,72,91,101,61,61,61,61,61,1,91,91,52,51,50,91,101,101,81,71,84,1,11,11,21,42,41,6,6,6,6,6,7,1,101,101,51,51,60,101,101,101,101,101,100,1,8,6,3,4,6,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,4,3,2,2,3,3,2,2,2,2,2,4,4,3,71,71,16,2,39,67,68,149,102,351,154,53,153,132,167,156,50,1659,1,0,15,15,0,0,1
1024,1,22,1,1,1,5,5,9,13,17,9,12,17,23,89,76,63,57,48,34,39,56,88,88,70,56,89,77,60,35,30,39,31,42,62,16,62,16,31,29,37,39,84,92,53,55,78,21,88,98,47,50,76,26,2,3,6,21,4,8,15,91,3,7,11,26,6,9,18,91,6,7,15,90,9,10,20,93,85,93,93,1,53,1,71,101,101,64,2,1,2,1,2,1,1,2,1,2,1,1,4,4,101,62,24,12,7,9,96,74,24,15,11,7,20,72,84,82,101,40,23,55,76,51,73,23,54,81,95,81,87,27,48,76,93,85,98,36,9,20,26,41,70,9,18,31,44,58,80,18,88,73,55,38,18,95,84,81,70,51,45,95,14,40,20,42,31,27,96,61,69,40,32,83,55,66,71,85,96,87,94,95,46,69,92,85,91,92,68,78,89,93,93,97,54,71,84,87,89,92,50,56,80,68,68,88,46,53,84,72,71,84,8,2,1,1,1,2,8,3,2,2,1,3,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,4,2,4,90,44,96,23,601,76,42,162,80,162,112,105,53,73,115,163,28,1260,1,0,15,15,0,0,1
1025,1,22,2,1,1,6,7,31,51,51,11,31,56,51,89,86,91,81,101,90,86,76,101,101,77,81,101,86,51,41,41,41,16,16,96,6,86,16,11,16,16,21,1,21,11,6,1,26,41,26,31,26,16,41,1,1,6,11,3,5,11,21,4,6,8,14,5,7,11,16,6,11,16,76,6,11,21,76,101,51,50,1,31,1,1,17,26,26,1,1,1,1,1,1,1,1,1,1,2,4,4,4,11,31,21,10,10,14,35,31,21,17,6,14,51,81,100,91,101,51,21,76,91,81,81,61,31,85,81,96,101,58,21,86,86,95,101,50,21,66,86,91,101,50,33,85,87,85,96,56,41,58,22,17,6,31,61,52,44,43,31,56,31,41,36,46,86,86,84,86,86,86,86,76,86,86,1,77,71,61,53,57,51,77,59,52,50,49,1,46,79,94,101,58,50,50,86,92,97,60,1,46,81,51,51,38,61,63,78,76,79,58,1,6,4,3,1,5,1,2,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,4,1,3,4,2,3,16,51,156,16,232,161,108,255,257,380,275,142,177,155,198,105,23,2074,1,0,15,15,0,0,1
1026,1,25,1,1,1,7,16,31,61,71,41,61,71,71,101,71,86,51,101,61,101,81,101,41,81,51,101,61,51,51,46,61,61,61,81,21,71,31,6,6,26,41,81,11,11,6,6,6,91,51,51,21,21,21,1,1,1,11,6,6,16,31,16,27,41,81,21,21,31,51,11,16,31,81,11,21,51,81,101,101,1,81,71,81,1,101,101,71,1,1,2,1,2,1,1,2,1,1,3,3,5,3,91,91,51,21,21,31,91,81,51,51,51,41,101,101,101,101,101,66,51,61,71,51,50,51,61,61,31,71,71,1,61,61,81,71,71,1,71,71,21,31,51,1,81,71,51,51,51,1,101,101,51,91,101,31,91,91,51,51,71,31,21,41,41,61,61,61,86,81,91,41,41,56,61,51,96,96,101,101,101,86,71,71,56,61,71,51,81,81,101,101,101,31,81,81,51,91,101,31,101,71,11,21,1,1,91,91,51,71,51,26,4,7,6,5,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,3,1,3,21,61,19,3,86,128,141,256,220,288,275,107,167,192,99,154,30,2165,1,0,15,15,0,0,1
